row,document,focus_id,status,basis,approved_target_xml_id,outcome,removed_relation_ids,added_relation_id,reason
2,cab-001-002,event_cab-001-002_cab-001-002_s004_a006,approved,explicit,person_cab-001-002_cab-001-002_s004_a002,applied,,participant_review_0002_hasParticipant,
3,cab-001-002,event_cab-001-002_cab-001-002_s003_a002,approved,contextual,person_cab-001-002_cab-001-002_s004_a002,applied,review_0014_hasParticipant,participant_review_0003_hasParticipant,
4,cab-001-003,event_cab-001-003_cab-001-003_s004_a006,needs_review,unknown,,left_unasserted,,,review decision deliberately leaves participant unasserted
5,cab-001-003,event_cab-001-003_cab-001-003_s007_a002,keep_warning,unknown,,left_unasserted,,,review decision deliberately leaves participant unasserted
6,cab-001-003,event_cab-001-003_cab-001-003_s007_a001,keep_warning,unknown,,left_unasserted,,,review decision deliberately leaves participant unasserted
7,cab-001-004,event_cab-001-004_cab-001-004_s005_a004,needs_review,unknown,,left_unasserted,,,review decision deliberately leaves participant unasserted
8,cab-001-004,event_cab-001-004_cab-001-004_s003_a001,approved,explicit,person_cab-001-004_cab-001-004_s003_a002,applied,review_0041_hasParticipant,participant_review_0008_hasParticipant,
9,cab-001-004,event_cab-001-004_cab-001-004_s002_a003,keep_warning,unknown,,left_unasserted,,,review decision deliberately leaves participant unasserted
10,cab-001-004,event_cab-001-004_cab-001-004_s008_a004,needs_review,unknown,,left_unasserted,,,review decision deliberately leaves participant unasserted
11,cab-001-004,event_cab-001-004_cab-001-004_s007_a002,approved,explicit,person_cab-001-004_cab-001-004_s007_a003,applied,review_0044_hasParticipant,participant_review_0011_hasParticipant,
12,cab-001-004,event_cab-001-004_cab-001-004_s008_a001,keep_warning,unknown,,left_unasserted,,,review decision deliberately leaves participant unasserted
13,cab-001-004,event_cab-001-004_cab-001-004_s002_a005,keep_warning,unknown,,left_unasserted,,,review decision deliberately leaves participant unasserted
14,cab-001-004,event_cab-001-004_cab-001-004_s002_a008,needs_review,unknown,,left_unasserted,,,review decision deliberately leaves participant unasserted
