document,severity,source_shape,constraint,result_path,message,count
cab-001-002,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,6
cab-001-002,Warning,_:naf187e36a1954bf0befbbe1b19f8e9a3b23,sh:MinCountConstraintComponent,leco:appointsPerson,No se ha identificado la persona nombrada.,1
cab-001-002,Warning,_:naf187e36a1954bf0befbbe1b19f8e9a3b3,sh:MinCountConstraintComponent,leco:appointsToOffice,No se ha identificado el oficio al que se realiza el nombramiento.,1
cab-001-002,Warning,_:naf187e36a1954bf0befbbe1b19f8e9a3b11,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,3
cab-001-002,Warning,_:naf187e36a1954bf0befbbe1b19f8e9a3b16,sh:MinCountConstraintComponent,leco:investigates,"No se ha identificado el objeto, actor o conducta investigada.",1
cab-001-002,Warning,_:naf187e36a1954bf0befbbe1b19f8e9a3b9,sh:MinCountConstraintComponent,leco:sanctions,No se ha identificado el actor sancionado.,1
cab-001-002,Warning,_:naf187e36a1954bf0befbbe1b19f8e9a3b6,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",6
cab-001-003,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,4
cab-001-003,Warning,_:n9db6b2ee05d64af6a2a7ae16d47fd643b3,sh:MinCountConstraintComponent,leco:conceptUseJurisdiction,El uso del concepto histórico no tiene todavía contexto jurisdiccional identificado.,1
cab-001-003,Warning,_:n9db6b2ee05d64af6a2a7ae16d47fd643b9,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,1
cab-001-003,Warning,_:n9db6b2ee05d64af6a2a7ae16d47fd643b5,sh:MinCountConstraintComponent,leco:resultsInLegalArrangement,El repartimiento no está enlazado todavía con el arreglo o régimen jurídico resultante.,2
cab-001-003,Warning,_:n9db6b2ee05d64af6a2a7ae16d47fd643b7,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",6
cab-001-004,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,12
cab-001-004,Warning,_:n1c4bb11895d04853aa4830b6f7e01ebab4,sh:MinCountConstraintComponent,leco:appointsToOffice,No se ha identificado el oficio al que se realiza el nombramiento.,1
cab-001-004,Warning,_:n1c4bb11895d04853aa4830b6f7e01ebab22,sh:MinCountConstraintComponent,leco:createsRepresentation,El otorgamiento de poder no está enlazado todavía con una relación de representación.,1
cab-001-004,Warning,_:n1c4bb11895d04853aa4830b6f7e01ebab25,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,2
