document,severity,source_shape,constraint,result_path,message,count
cab-001-002,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,1
cab-001-002,Warning,_:n69242f18269544408c34743fead662abb12,sh:MinCountConstraintComponent,leco:appointsPerson,No se ha identificado la persona nombrada.,1
cab-001-002,Warning,_:n69242f18269544408c34743fead662abb10,sh:MinCountConstraintComponent,leco:appointsToOffice,No se ha identificado el oficio al que se realiza el nombramiento.,1
cab-001-002,Warning,_:n69242f18269544408c34743fead662abb3,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",6
cab-001-003,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,3
cab-001-003,Warning,_:n884c277bb3be491ab78ad30b6928de72b11,sh:MinCountConstraintComponent,leco:conceptUseJurisdiction,El uso del concepto histórico no tiene todavía contexto jurisdiccional identificado.,1
cab-001-003,Warning,_:n884c277bb3be491ab78ad30b6928de72b9,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,1
cab-001-003,Warning,_:n884c277bb3be491ab78ad30b6928de72b15,sh:MinCountConstraintComponent,leco:resultsInLegalArrangement,El repartimiento no está enlazado todavía con el arreglo o régimen jurídico resultante.,2
cab-001-003,Warning,_:n884c277bb3be491ab78ad30b6928de72b4,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",6
cab-001-004,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,5
cab-001-004,Warning,_:nd0250aca413944f28355605b95cb4a8bb27,sh:MinCountConstraintComponent,leco:createsRepresentation,El otorgamiento de poder no está enlazado todavía con una relación de representación.,1
cab-001-004,Warning,_:nd0250aca413944f28355605b95cb4a8bb15,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,1
cab-001-004,Warning,_:nd0250aca413944f28355605b95cb4a8bb10,sh:MinCountConstraintComponent,leco:resultsInLegalArrangement,El repartimiento no está enlazado todavía con el arreglo o régimen jurídico resultante.,1
cab-001-004,Warning,_:nd0250aca413944f28355605b95cb4a8bb3,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",15
cab-001-006,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,5
cab-001-006,Warning,_:n232605672c4e4b98ad6be4c6c320fea4b15,sh:MinCountConstraintComponent,leco:appointsPerson,No se ha identificado la persona nombrada.,1
cab-001-006,Warning,_:n232605672c4e4b98ad6be4c6c320fea4b22,sh:MinCountConstraintComponent,leco:appointsToOffice,No se ha identificado el oficio al que se realiza el nombramiento.,1
cab-001-006,Warning,_:n232605672c4e4b98ad6be4c6c320fea4b8,sh:MinCountConstraintComponent,leco:conceptUseTime,El uso del concepto histórico no tiene todavía contexto temporal identificado. Mantener como incompletitud si la fuente o los metadatos no permiten fecharlo.,2
cab-001-006,Warning,_:n232605672c4e4b98ad6be4c6c320fea4b12,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,3
