document,property,focus_xml_id,focus_types,focus_label,segment_id,segment_text,previous_segment_text,next_segment_text,review_issue_category,suggested_modeling_action,source_review_note,proposed_event_type,proposed_modeling_pattern,typing_review_status,typing_reviewer_note
cab-001-002,leco:appointsToOffice,event_cab-001-002_cab-001-002_s004_a006,leco:Appointment,nombramiento,cab-001-002_s004,"El Alcalde Juan de Pineda compareció ante la Real Audencia para apelar la sanción, argumento que se encontraba gestionado lo de su nombramiento como Procurador.","Los señores capitulares, acordaron ponerlo preso y encargar en su remplazo a don Pedro Vasquez.","Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",appointment_status_or_request,"Revisar si el nodo es Appointment consumado, solicitud/propuesta de nombramiento o alegación sobre un nombramiento en trámite.",La expresión «se encontraba gestionado lo de su nombramiento como Procurador» no prueba un nombramiento ya consumado. Antes de añadir leco:appointsToOffice conviene revisar si este nodo debe modelarse como nombramiento en trámite/alegado y no como Appointment plenamente realizado.,,,pending,
cab-001-002,leco:appointsPerson,event_cab-001-002_cab-001-002_s004_a006,leco:Appointment,nombramiento,cab-001-002_s004,"El Alcalde Juan de Pineda compareció ante la Real Audencia para apelar la sanción, argumento que se encontraba gestionado lo de su nombramiento como Procurador.","Los señores capitulares, acordaron ponerlo preso y encargar en su remplazo a don Pedro Vasquez.","Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",appointment_status_or_request,"Revisar si el nodo es Appointment consumado, solicitud/propuesta de nombramiento o alegación sobre un nombramiento en trámite.","Juan de Pineda es la persona a la que se refiere «su nombramiento», pero el texto dice que el nombramiento estaba siendo gestionado. No aprobar leco:appointsPerson mientras el evento siga interpretándose como Appointment consumado; revisar primero la tipificación/estado del nombramiento.",,,pending,
cab-001-003,leco:decidedBy,event_cab-001-003_cab-001-003_s007_a001,leco:OrderAct,ordenó,cab-001-003_s007,Se ordenó pregonar lo acordado.,"Se presento otra carta del Cabildo de Santafé, la cual fue leída, donde se ordena el envío de la respuesta por el Licenciado Santiesteban.",,authority_context,Revisar autoridad emisora/decisora usando contexto documental más amplio; no resolver por proximidad nominal.,"«Se ordenó pregonar lo acordado» probablemente pertenece a la actuación del cabildo local, pero el contexto inmediato contiene también al Cabildo de Santafé. No seleccionar automáticamente a este último. Revisar el contexto documental más amplio y la autoridad local antes de aprobar decidedBy.",,,pending,
cab-001-004,leco:decidedBy,event_cab-001-004_cab-001-004_s002_a005,leco:OrderAct,mandó,cab-001-004_s002,"En este Cabildo los señores Justicia y Regimiento dijeron que por el pregón de un auto que se realizó, donde se mandó hacer la despedida del señor Gobernador por parte de los vecinos del Repartimiento, ya no fueran a tal acto.","Tunja, 26 de Septimbre 1547.","Se dió un poder a Hernan Suárez de Villalobos,para que apelara en la Audencia los contenidos del auto que contenian nuevas leyes que afectan a los indios y la tributación del maiz y otras cosas que sacan delas granjas.",authority_context,Revisar autoridad emisora/decisora usando contexto documental más amplio; no resolver por proximidad nominal.,"El mandato «se mandó hacer la despedida» está contenido en un auto previamente pregonado. Cabildo y Justicia y Regimiento describen ese auto, pero no necesariamente son la autoridad que emitió el mandato. Identificar, si es posible, la autoridad del auto; de lo contrario conservar la incompletitud.",,,pending,
cab-001-006,leco:decidedBy,event_cab-001-006_cab-001-006_s005_a004,leco:Punishment,castigarlos,cab-001-006_s005,"Por cuanto es costumbre de los gobernantes del Reino y de las justicias, se pregona las penas contra los Indios, Suspenderlos, castigarlos por causar problemas con los vecinos de la ciudad dónde se fiel cumplimiento a esta carta Real Provisión.","Por cuanto en los confines y términos de la ciudad de Tunja y sus provincias y poblaciones de Indios hay guerras entre ellos con los Caribes los cuales comen carne humana, para que estos sean castigados por los españoles.",Finalmente; seguir autorizando los repartimientos de tierras e Indios a los primeros descubridores y conquistadores del Nuevo Reino de Granada.,normative_statement_vs_decision,Revisar si el nodo es realmente una LegalDecision singular o una prescripción/regla general.,"El pasaje formula castigos en términos generales («gobernantes del Reino y justicias», carta/Real Provisión) y no una decisión singular con autoridad concreta. Revisar si el nodo debe modelarse como prescripción normativa/punishment previsto, en vez de exigir decidedBy a un acto decisorio individual.",,,pending,
cab-001-006,leco:decidedBy,event_cab-001-006_cab-001-006_s004_a004,leco:Punishment,castigados,cab-001-006_s004,"Por cuanto en los confines y términos de la ciudad de Tunja y sus provincias y poblaciones de Indios hay guerras entre ellos con los Caribes los cuales comen carne humana, para que estos sean castigados por los españoles.","Hacer relación de su majestad de la cantidad de oro,espadas, Piedras preciosas producidas en este reino, para que por medio de la Real Audencia se entregue el informe, agregando las tierras mas fertiles de los Indigenas ó naturales.","Por cuanto es costumbre de los gobernantes del Reino y de las justicias, se pregona las penas contra los Indios, Suspenderlos, castigarlos por causar problemas con los vecinos de la ciudad dónde se fiel cumplimiento a esta carta Real Provisión.",normative_statement_vs_decision,Revisar si el nodo es realmente una LegalDecision singular o una prescripción/regla general.,El castigo de s004 se expresa como finalidad general («para que estos sean castigados por los españoles») y no identifica una autoridad decisora singular. Revisar la tipificación del evento antes de añadir decidedBy.,,,pending,
cab-001-006,leco:decidedBy,event_cab-001-006_cab-001-006_s005_a002,leco:Sanction,penas,cab-001-006_s005,"Por cuanto es costumbre de los gobernantes del Reino y de las justicias, se pregona las penas contra los Indios, Suspenderlos, castigarlos por causar problemas con los vecinos de la ciudad dónde se fiel cumplimiento a esta carta Real Provisión.","Por cuanto en los confines y términos de la ciudad de Tunja y sus provincias y poblaciones de Indios hay guerras entre ellos con los Caribes los cuales comen carne humana, para que estos sean castigados por los españoles.",Finalmente; seguir autorizando los repartimientos de tierras e Indios a los primeros descubridores y conquistadores del Nuevo Reino de Granada.,normative_statement_vs_decision,Revisar si el nodo es realmente una LegalDecision singular o una prescripción/regla general.,"Las «penas» de s005 forman parte de una formulación normativa/general vinculada a gobernantes, justicias y una Real Provisión. No hay autoridad decisora concreta inequívoca; revisar si corresponde modelar una regla/prescripción más que una LegalDecision singular.",,,pending,
cab-001-007,leco:appealsAgainst,event_cab-001-007_cab-001-007_s002_a002,leco:Appeal,apelaciones,cab-001-007_s002,"Dentro de las funciones asignadas, deben realizar suplicas, apelaciones, velar por los negocios de la ciudad, dar cumplimiento de las leyes de su Magestad, poner remedio a los conflictos de los naturales y de los colonos, para el bien de los vecinos del Nuevo Reino de Granada.","Los miembros del Cabildo, Justicia y Regimiento otorgan el poder de Procuradores a don Pedro de Colemenares y Alonso Tellez, para que defiendan las causas de la ciudad de Tunja, ante la Real Audiencia de Santafé, Provisión fechada a 1 de diciembre de 1547.","Los miembros del cabildo, procedieron a tomar el juramento de fidelidad a los dos Procuradores Generales a quienes se les otorgo el poder de representación y defensa de las causas de la provincia.",authorized_or_generic_appeal,Revisar si el nodo representa una apelación concreta o una facultad/función autorizada por un poder.,"«Apelaciones» aparece como una de las funciones futuras asignadas a los procuradores, no como una apelación concreta ya interpuesta. Por ello no debe forzarse appealsAgainst; revisar si el nodo debe representar una competencia/actividad autorizada en lugar de un Appeal individual.",,,pending,
cab-001-007,leco:beforeAuthority,event_cab-001-007_cab-001-007_s002_a002,leco:Appeal,apelaciones,cab-001-007_s002,"Dentro de las funciones asignadas, deben realizar suplicas, apelaciones, velar por los negocios de la ciudad, dar cumplimiento de las leyes de su Magestad, poner remedio a los conflictos de los naturales y de los colonos, para el bien de los vecinos del Nuevo Reino de Granada.","Los miembros del Cabildo, Justicia y Regimiento otorgan el poder de Procuradores a don Pedro de Colemenares y Alonso Tellez, para que defiendan las causas de la ciudad de Tunja, ante la Real Audiencia de Santafé, Provisión fechada a 1 de diciembre de 1547.","Los miembros del cabildo, procedieron a tomar el juramento de fidelidad a los dos Procuradores Generales a quienes se les otorgo el poder de representación y defensa de las causas de la provincia.",authorized_or_generic_appeal,Revisar si el nodo representa una apelación concreta o una facultad/función autorizada por un poder.,"Aunque el segmento anterior menciona expresamente la Real Audiencia de Santafé, «apelaciones» describe funciones asignadas a los procuradores y no una actuación individual. Revisar primero la tipificación del nodo; si se conserva como actividad genérica, beforeAuthority debe modelarse en el patrón de mandato/representación, no como apelación concreta.",,,pending,
cab-001-008,leco:appointsPerson,event_cab-001-008_cab-001-008_s003_a002,leco:Appointment,nombrar,cab-001-008_s003,Se acordó nombrar por escribano público de Tunja a Juan quien se le ordena hacer buen uso de su cargo.,Los miembros del Cabildo se reunieron para tratar asuntos y despachar negocios.,"En esta reunión se platicó sobre la necesidad de traer los mercados a la plaza principal, el Alcalde ordinario considera el bienestar de los vecinos y el aprovisamiento del mercado.",appointment_entity_or_status,Resolver persona/oficio faltante y comprobar si el nombramiento es un acto consumado.,"El texto sí dice «nombrar por escribano público de Tunja a Juan», pero la persona «Juan» no tiene un xml:id de entidad disponible en esta auditoría. Crear/resolver primero la entidad histórica con la forma textual incompleta «Juan» antes de aprobar appointsPerson.",,,pending,
