document,severity,source_shape,constraint,result_path,message,count
cab-001-002,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,1
cab-001-002,Warning,_:n23e3eb3cfd11466e85cdf7111c0ac4f1b11,sh:MinCountConstraintComponent,leco:appointsPerson,No se ha identificado la persona nombrada.,1
cab-001-002,Warning,_:n23e3eb3cfd11466e85cdf7111c0ac4f1b5,sh:MinCountConstraintComponent,leco:appointsToOffice,No se ha identificado el oficio al que se realiza el nombramiento.,1
cab-001-002,Warning,_:n23e3eb3cfd11466e85cdf7111c0ac4f1b3,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",6
cab-001-003,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,3
cab-001-003,Warning,_:na081a5678aeb4747b8151478413dd86ab3,sh:MinCountConstraintComponent,leco:conceptUseJurisdiction,El uso del concepto histórico no tiene todavía contexto jurisdiccional identificado.,1
cab-001-003,Warning,_:na081a5678aeb4747b8151478413dd86ab14,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,1
cab-001-003,Warning,_:na081a5678aeb4747b8151478413dd86ab10,sh:MinCountConstraintComponent,leco:resultsInLegalArrangement,El repartimiento no está enlazado todavía con el arreglo o régimen jurídico resultante.,2
cab-001-003,Warning,_:na081a5678aeb4747b8151478413dd86ab5,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",6
cab-001-004,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,5
cab-001-004,Warning,_:n3c9bfb26979149bf8bf43c26b87f7f68b11,sh:MinCountConstraintComponent,leco:createsRepresentation,El otorgamiento de poder no está enlazado todavía con una relación de representación.,1
cab-001-004,Warning,_:n3c9bfb26979149bf8bf43c26b87f7f68b23,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,1
cab-001-004,Warning,_:n3c9bfb26979149bf8bf43c26b87f7f68b16,sh:MinCountConstraintComponent,leco:resultsInLegalArrangement,El repartimiento no está enlazado todavía con el arreglo o régimen jurídico resultante.,1
cab-001-004,Warning,_:n3c9bfb26979149bf8bf43c26b87f7f68b3,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",15
cab-001-006,Warning,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,5
cab-001-006,Warning,_:nb7efa5a328a14675bb26a814fec0cf92b8,sh:MinCountConstraintComponent,leco:appointsPerson,No se ha identificado la persona nombrada.,1
cab-001-006,Warning,_:nb7efa5a328a14675bb26a814fec0cf92b15,sh:MinCountConstraintComponent,leco:appointsToOffice,No se ha identificado el oficio al que se realiza el nombramiento.,1
cab-001-006,Warning,_:nb7efa5a328a14675bb26a814fec0cf92b3,sh:MinCountConstraintComponent,leco:conceptUseTime,El uso del concepto histórico no tiene todavía contexto temporal identificado. Mantener como incompletitud si la fuente o los metadatos no permiten fecharlo.,2
cab-001-006,Warning,_:nb7efa5a328a14675bb26a814fec0cf92b13,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,3
cab-001-006,Warning,_:nb7efa5a328a14675bb26a814fec0cf92b5,sh:MinCountConstraintComponent,leco:sanctions,No se ha identificado el actor sancionado.,3
