document,focus_node,focus_type,focus_label,segment_id,segment_text,previous_segment_id,previous_segment_text,next_segment_id,next_segment_text,same_segment_entities,previous_segment_entities,next_segment_entities,current_hasParticipant,current_participationActors,current_resolution_status,audit_flag,original_review_status,original_reviewer_note,suggested_review_action,approved_target_xml_id,approved_basis,approved_confidence,participant_review_status,participant_reviewer_note
cab-001-002,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a003,leco:Appearance,compareció,cab-001-002_s004,"El Alcalde Juan de Pineda compareció ante la Real Audencia para apelar la sanción, argumento que se encontraba gestionado lo de su nombramiento como Procurador.",cab-001-002_s003,"Los señores capitulares, acordaron ponerlo preso y encargar en su remplazo a don Pedro Vasquez.",cab-001-002_s005,"Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",person:person_cab-001-002_cab-001-002_s004_a002|Juan de Pineda|before; org:org_cab-001-002_cab-001-002_s004_a004|Real Audencia|after,person:person_cab-001-002_cab-001-002_s003_a003|Pedro Vasquez|same,,person:person_cab-001-002_cab-001-002_s004_a002|Juan de Pineda,,resolved,resolved_same_segment_before,explicit_recoverable,"Propuesta para revisión: el segmento cab-001-002_s004 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «compareció». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual.",Comprobar que la mención anterior al acto funciona realmente como actor/participante y no como autoridad/destinatario.,,,,pending,
cab-001-002,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a003,leco:Adjudication,fallar,cab-001-002_s005,"Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",cab-001-002_s004,"El Alcalde Juan de Pineda compareció ante la Real Audencia para apelar la sanción, argumento que se encontraba gestionado lo de su nombramiento como Procurador.",,,,person:person_cab-001-002_cab-001-002_s004_a002|Juan de Pineda|same; org:org_cab-001-002_cab-001-002_s004_a004|Real Audencia|same,,person:person_cab-001-002_cab-001-002_s004_a002|Juan de Pineda,,resolved,resolved_previous_context,explicit_recoverable,"Propuesta para revisión: el segmento cab-001-002_s005 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «fallar». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual.",Relación contextual: confirmar continuidad discursiva y conservar provenance/confidence.,,,,pending,
cab-001-002,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a006,leco:Appointment,nombramiento,cab-001-002_s004,"El Alcalde Juan de Pineda compareció ante la Real Audencia para apelar la sanción, argumento que se encontraba gestionado lo de su nombramiento como Procurador.",cab-001-002_s003,"Los señores capitulares, acordaron ponerlo preso y encargar en su remplazo a don Pedro Vasquez.",cab-001-002_s005,"Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",person:person_cab-001-002_cab-001-002_s004_a002|Juan de Pineda|before; org:org_cab-001-002_cab-001-002_s004_a004|Real Audencia|before,person:person_cab-001-002_cab-001-002_s003_a003|Pedro Vasquez|same,,,,unresolved,unresolved,needs_review,"Propuesta para revisión: cab-001-002_s004 menciona actores o afectados, pero no es inequívoco que correspondan al acto «nombramiento» tal como está tipado. Revisar primero la segmentación/tipo de evento antes de enlazar participantes.","Revisar candidatos del mismo segmento y, si no bastan, el contexto anterior/posterior.",,,,pending,
cab-001-002,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s003_a002,leco:Detention,ponerlo preso,cab-001-002_s003,"Los señores capitulares, acordaron ponerlo preso y encargar en su remplazo a don Pedro Vasquez.",cab-001-002_s002,"En la reunión informó el Alcalde Ordinario, para viajar a las provincias de Perú.",cab-001-002_s004,"El Alcalde Juan de Pineda compareció ante la Real Audencia para apelar la sanción, argumento que se encontraba gestionado lo de su nombramiento como Procurador.",person:person_cab-001-002_cab-001-002_s003_a003|Pedro Vasquez|after,,person:person_cab-001-002_cab-001-002_s004_a002|Juan de Pineda|same; org:org_cab-001-002_cab-001-002_s004_a004|Real Audencia|same,org:org_cab-001-002_cab-001-002_s001_a002|Justicia y Regimiento; person:person_cab-001-002_cab-001-002_s003_a003|Pedro Vasquez,,resolved,multiple_current_targets,contextual_inference,"Propuesta para revisión: el participante de «ponerlo preso» no queda como sujeto inequívoco en cab-001-002_s003, pero puede inferirse por continuidad gramatical/institucional. Revisar el contexto inmediato y, si se acepta, registrar la relación como inferida con evidencia y confianza.",Verificar si la pluralidad está justificada o si alguna relación fue añadida heurísticamente.,,,,pending,
cab-001-002,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a002,leco:Investigation,investigar,cab-001-002_s005,"Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",cab-001-002_s004,"El Alcalde Juan de Pineda compareció ante la Real Audencia para apelar la sanción, argumento que se encontraba gestionado lo de su nombramiento como Procurador.",,,,person:person_cab-001-002_cab-001-002_s004_a002|Juan de Pineda|same; org:org_cab-001-002_cab-001-002_s004_a004|Real Audencia|same,,person:person_cab-001-002_cab-001-002_s004_a002|Juan de Pineda,,resolved,resolved_previous_context,explicit_recoverable,"Propuesta para revisión: el segmento cab-001-002_s005 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «investigar». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual.",Relación contextual: confirmar continuidad discursiva y conservar provenance/confidence.,,,,pending,
cab-001-002,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a001,leco:OrderAct,ordenó,cab-001-002_s005,"Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",cab-001-002_s004,"El Alcalde Juan de Pineda compareció ante la Real Audencia para apelar la sanción, argumento que se encontraba gestionado lo de su nombramiento como Procurador.",,,,person:person_cab-001-002_cab-001-002_s004_a002|Juan de Pineda|same; org:org_cab-001-002_cab-001-002_s004_a004|Real Audencia|same,,person:person_cab-001-002_cab-001-002_s004_a002|Juan de Pineda,,resolved,resolved_previous_context,contextual_inference,"Propuesta para revisión: el participante de «ordenó» no queda como sujeto inequívoco en cab-001-002_s005, pero puede inferirse por continuidad gramatical/institucional. Revisar el contexto inmediato y, si se acepta, registrar la relación como inferida con evidencia y confianza.",Relación contextual: confirmar continuidad discursiva y conservar provenance/confidence.,,,,pending,
cab-001-003,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s004_a006,leco:RepartimientoAct,repartimientos,cab-001-003_s004,"En este Cabildo se tratá por parte de los miembros del Cabildo Justicia y Regimiento, el contenido de la carta enviada por el señor Gobernador, donde se estipula el tiempo que ha de permanecer los indios en sus repartimientos.",cab-001-003_s003,"Juan de Horosco, Miguel de Trujillo, Hernando de Rojas Regidores, para tratar lo relacionadocon el real servicio.",cab-001-003_s005,"Se acordó expedir a Hernan Suárez para que se encarguen de los asuntos de losnaturales y los repartimientos, presente apelación ante la Real Audencia de Santafé y los Reinos de España.",org:org_cab-001-003_cab-001-003_s002_a001|Cabildo|before; org:org_cab-001-003_cab-001-003_s004_a002|Cabildo Justicia y Regimiento|before,person:person_cab-001-003_cab-001-003_s003_a001|Juan de Horosco|same; person:person_cab-001-003_cab-001-003_s003_a002|Miguel de Trujillo|same; person:person_cab-001-003_cab-001-003_s003_a003|Hernando de Rojas|same,person:person_cab-001-003_cab-001-003_s005_a002|Hernan Suárez|same; org:org_cab-001-003_cab-001-003_s005_a005|Real Audencia de Santafé|same,,,unresolved,unresolved,explicit_recoverable,"Propuesta para revisión: el segmento cab-001-003_s004 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «repartimientos». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual.","Revisar candidatos del mismo segmento y, si no bastan, el contexto anterior/posterior.",,,,pending,
cab-001-003,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s007_a002,leco:Proclamation,pregonar,cab-001-003_s007,Se ordenó pregonar lo acordado.,cab-001-003_s006,"Se presento otra carta del Cabildo de Santafé, la cual fue leída, donde se ordena el envío de la respuesta por el Licenciado Santiesteban.",,,,org:org_cab-001-003_cab-001-003_s006_a002|Cabildo de Santafé|same; person:person_cab-001-003_cab-001-003_s006_a003|Licenciado Santiesteban|same,,,,unresolved,unresolved,keep_warning,Propuesta para revisión: en cab-001-003_s007 no se identifica un participante concreto e inequívoco para «pregonar». Mantener el warning; no crear una persona o grupo genérico solo para completar SHACL.,"Revisar candidatos del mismo segmento y, si no bastan, el contexto anterior/posterior.",,,,pending,
cab-001-003,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s007_a001,leco:OrderAct,ordenó,cab-001-003_s007,Se ordenó pregonar lo acordado.,cab-001-003_s006,"Se presento otra carta del Cabildo de Santafé, la cual fue leída, donde se ordena el envío de la respuesta por el Licenciado Santiesteban.",,,,org:org_cab-001-003_cab-001-003_s006_a002|Cabildo de Santafé|same; person:person_cab-001-003_cab-001-003_s006_a003|Licenciado Santiesteban|same,,,,unresolved,unresolved,keep_warning,Propuesta para revisión: en cab-001-003_s007 no se identifica un participante concreto e inequívoco para «ordenó». Mantener el warning; no crear una persona o grupo genérico solo para completar SHACL.,"Revisar candidatos del mismo segmento y, si no bastan, el contexto anterior/posterior.",,,,pending,
cab-001-003,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s005_a003,leco:RepartimientoAct,repartimientos,cab-001-003_s005,"Se acordó expedir a Hernan Suárez para que se encarguen de los asuntos de losnaturales y los repartimientos, presente apelación ante la Real Audencia de Santafé y los Reinos de España.",cab-001-003_s004,"En este Cabildo se tratá por parte de los miembros del Cabildo Justicia y Regimiento, el contenido de la carta enviada por el señor Gobernador, donde se estipula el tiempo que ha de permanecer los indios en sus repartimientos.",cab-001-003_s006,"Se presento otra carta del Cabildo de Santafé, la cual fue leída, donde se ordena el envío de la respuesta por el Licenciado Santiesteban.",person:person_cab-001-003_cab-001-003_s005_a002|Hernan Suárez|before; org:org_cab-001-003_cab-001-003_s005_a005|Real Audencia de Santafé|after,org:org_cab-001-003_cab-001-003_s002_a001|Cabildo|same; org:org_cab-001-003_cab-001-003_s004_a002|Cabildo Justicia y Regimiento|same,org:org_cab-001-003_cab-001-003_s006_a002|Cabildo de Santafé|same; person:person_cab-001-003_cab-001-003_s006_a003|Licenciado Santiesteban|same,person:person_cab-001-003_cab-001-003_s005_a002|Hernan Suárez,,resolved,resolved_same_segment_before,explicit_recoverable,"Propuesta para revisión: el segmento cab-001-003_s005 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «repartimientos». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual.",Comprobar que la mención anterior al acto funciona realmente como actor/participante y no como autoridad/destinatario.,,,,pending,
