row,document,status,result_path,focus_node,evidence_xml_id,outcome,relation_xml_id,target,reason
2,cab-001-002,contextual_inference,leco:decidedBy,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a001,cab-001-002_s005,applied,review_0002_decidedBy,person_cab-001-002_cab-001-002_s004_a002,
3,cab-001-002,explicit_recoverable,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a003,cab-001-002_s004,applied,review_0003_hasParticipant,person_cab-001-002_cab-001-002_s004_a002,
4,cab-001-002,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a003,cab-001-002_s005,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
5,cab-001-002,contextual_inference,leco:decidedBy,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a003,cab-001-002_s005,applied,review_0005_decidedBy,person_cab-001-002_cab-001-002_s004_a002,
6,cab-001-002,explicit_recoverable,leco:investigates,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a002,cab-001-002_s005,applied,review_0006_investigates,person_cab-001-002_cab-001-002_s004_a002,
7,cab-001-002,explicit_recoverable,leco:decidedBy,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s003_a002,cab-001-002_s003,applied,review_0007_decidedBy,org_cab-001-002_cab-001-002_s001_a002,
8,cab-001-002,explicit_recoverable,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a003,cab-001-002_s005,pending,,,no se pudo resolver un participante único/nombrado sin análisis gramatical adicional
9,cab-001-002,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s003_a002,cab-001-002_s003,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
10,cab-001-002,needs_review,leco:appointsToOffice,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a006,cab-001-002_s004,not_applied_by_policy,,,review_status=needs_review
11,cab-001-002,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a002,cab-001-002_s005,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
12,cab-001-002,needs_review,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a006,cab-001-002_s004,not_applied_by_policy,,,review_status=needs_review
13,cab-001-002,needs_review,leco:appointsPerson,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a006,cab-001-002_s004,not_applied_by_policy,,,review_status=needs_review
14,cab-001-002,contextual_inference,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s003_a002,cab-001-002_s003,applied,review_0014_hasParticipant,person_cab-001-002_cab-001-002_s003_a003,
15,cab-001-002,keep_warning,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a003,cab-001-002_s004,not_applied_by_policy,,,review_status=keep_warning
16,cab-001-002,explicit_recoverable,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a002,cab-001-002_s005,pending,,,no se pudo resolver un participante único/nombrado sin análisis gramatical adicional
17,cab-001-002,contextual_inference,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a001,cab-001-002_s005,pending,,,no se pudo resolver un participante único/nombrado sin análisis gramatical adicional
18,cab-001-002,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a001,cab-001-002_s005,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
19,cab-001-002,needs_review,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a006,cab-001-002_s004,not_applied_by_policy,,,review_status=needs_review
20,cab-001-002,contextual_inference,leco:sanctions,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s003_a002,cab-001-002_s003,applied,review_0020_sanctions,person_cab-001-002_cab-001-002_s003_a003,
21,cab-001-003,explicit_recoverable,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s004_a006,cab-001-003_s004,pending,,,no se pudo resolver un participante único/nombrado sin análisis gramatical adicional
22,cab-001-003,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s005_a004,cab-001-003_s005,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
23,cab-001-003,keep_warning,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s007_a002,cab-001-003_s007,not_applied_by_policy,,,review_status=keep_warning
24,cab-001-003,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s005_a001,cab-001-003_s005,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
25,cab-001-003,needs_review,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s004_a006,cab-001-003_s004,not_applied_by_policy,,,review_status=needs_review
26,cab-001-003,keep_warning,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s007_a001,cab-001-003_s007,not_applied_by_policy,,,review_status=keep_warning
27,cab-001-003,keep_warning,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s007_a001,cab-001-003_s007,not_applied_by_policy,,,review_status=keep_warning
28,cab-001-003,needs_review,leco:resultsInLegalArrangement,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s004_a006,cab-001-003_s004,not_applied_by_policy,,,review_status=needs_review
29,cab-001-003,explicit_recoverable,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s005_a003,cab-001-003_s005,applied,review_0029_hasParticipant,person_cab-001-003_cab-001-003_s005_a002,
30,cab-001-003,keep_warning,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s007_a002,cab-001-003_s007,not_applied_by_policy,,,review_status=keep_warning
31,cab-001-003,contextual_inference,leco:conceptUseJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d003/concept_use_cab-001-003_cab-001-003_s003_a005,cab-001-003_s003,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
32,cab-001-003,needs_review,leco:resultsInLegalArrangement,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s005_a003,cab-001-003_s005,not_applied_by_policy,,,review_status=needs_review
33,cab-001-003,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s005_a003,cab-001-003_s005,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
34,cab-001-003,contextual_inference,leco:decidedBy,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s007_a001,cab-001-003_s007,pending,,,autoridad decisora no resoluble a una entidad única/nombrada sin conjetura adicional
35,cab-001-004,explicit_recoverable,leco:resultsInLegalArrangement,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s008_a004,cab-001-004_s008,applied,review_0035_resultsInLegalArrangement,review_arrangement_0035,
36,cab-001-004,explicit_recoverable,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s005_a004,cab-001-004_s005,pending,,,no se pudo resolver un participante único/nombrado sin análisis gramatical adicional
37,cab-001-004,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s005_a004,cab-001-004_s005,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
38,cab-001-004,explicit_recoverable,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s010_a004,cab-001-004_s010,applied,review_0038_hasParticipant,person_cab-001-004_cab-001-004_s010_a002,
39,cab-001-004,explicit_recoverable,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s010_a007,cab-001-004_s010,applied,review_0039_hasParticipant,person_cab-001-004_cab-001-004_s010_a002,
40,cab-001-004,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s008_a004,cab-001-004_s008,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
41,cab-001-004,explicit_recoverable,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s003_a001,cab-001-004_s003,applied,review_0041_hasParticipant,person_cab-001-004_cab-001-004_s003_a002,
42,cab-001-004,contextual_inference,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s002_a003,cab-001-004_s002,pending,,,no se pudo resolver un participante único/nombrado sin análisis gramatical adicional
43,cab-001-004,explicit_recoverable,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s008_a004,cab-001-004_s008,pending,,,no se pudo resolver un participante único/nombrado sin análisis gramatical adicional
44,cab-001-004,explicit_recoverable,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s007_a002,cab-001-004_s007,applied,review_0044_hasParticipant,person_cab-001-004_cab-001-004_s007_a003,
45,cab-001-004,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s010_a005,cab-001-004_s010,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
46,cab-001-004,explicit_recoverable,leco:createsRepresentation,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s003_a001,cab-001-004_s003,deferred,,,requiere resolver principal(es)/representante(s) y revisar multiplicidad antes de crear RepresentationRelation
47,cab-001-004,keep_warning,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s009_a003,cab-001-004_s009,not_applied_by_policy,,,review_status=keep_warning
48,cab-001-004,needs_review,leco:decidedBy,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s002_a005,cab-001-004_s002,not_applied_by_policy,,,review_status=needs_review
49,cab-001-004,keep_warning,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s008_a001,cab-001-004_s008,not_applied_by_policy,,,review_status=keep_warning
50,cab-001-004,needs_review,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s002_a008,cab-001-004_s002,not_applied_by_policy,,,review_status=needs_review
51,cab-001-004,explicit_recoverable,leco:decidedBy,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s005_a004,cab-001-004_s005,applied,review_0051_decidedBy,org_cab-001-004_cab-001-004_s002_a002,
52,cab-001-004,keep_warning,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s003_a001,cab-001-004_s003,not_applied_by_policy,,,review_status=keep_warning
