row,document,status,result_path,focus_node,evidence_xml_id,outcome,relation_xml_id,target,reason
4,cab-001-002,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a003,cab-001-002_s005,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
8,cab-001-002,explicit_recoverable,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a003,cab-001-002_s005,pending,,,no se pudo resolver un participante único/nombrado sin análisis gramatical adicional
9,cab-001-002,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s003_a002,cab-001-002_s003,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
11,cab-001-002,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a002,cab-001-002_s005,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
16,cab-001-002,explicit_recoverable,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a002,cab-001-002_s005,pending,,,no se pudo resolver un participante único/nombrado sin análisis gramatical adicional
17,cab-001-002,contextual_inference,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a001,cab-001-002_s005,pending,,,no se pudo resolver un participante único/nombrado sin análisis gramatical adicional
18,cab-001-002,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a001,cab-001-002_s005,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
21,cab-001-003,explicit_recoverable,(participant),https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s004_a006,cab-001-003_s004,pending,,,no se pudo resolver un participante único/nombrado sin análisis gramatical adicional
22,cab-001-003,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s005_a004,cab-001-003_s005,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
24,cab-001-003,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s005_a001,cab-001-003_s005,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
31,cab-001-003,contextual_inference,leco:conceptUseJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d003/concept_use_cab-001-003_cab-001-003_s003_a005,cab-001-003_s003,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
33,cab-001-003,contextual_inference,leco:withinJurisdiction,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s005_a003,cab-001-003_s005,deferred,,,recalcular tras recuperar autoridades; no crear jurisdicción redundante desde el CSV
