document,severity,constraint,result_path,message,focus_node,focus_types,focus_label,evidence_uris,evidence_xml_ids,evidence_text,evidence_file,evidence_method,suggested_action,suggested_action_note,review_status,reviewer_note
cab-001-002,Warning,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a001,leco:OrderAct,ordenó,https://w3id.org/leco/data/co-ahrb-cab-001-d002/cab-001-002_s005,cab-001-002_s005,"Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",source-tei,segment leco:documentsAct focus,review_deciding_authority,Comprobar quién adopta la decisión en el segmento y su contexto inmediato; no asumir Cabildo automáticamente si el texto no lo permite.,contextual_inference,"Propuesta para revisión: inferir leco:decidedBy = RealAudiencia para este acto. La autoridad no aparece explícitamente en cab-001-002_s005; la inferencia se apoya en continuidad procesal con cab-001-002_s004, donde Juan de Pineda comparece ante la Real Audiencia para apelar. Registrar como contextual_inference con provenance y confidence aproximada 0.80, no como evidencia textual explícita."
cab-001-002,Warning,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a003,leco:Appearance,compareció,https://w3id.org/leco/data/co-ahrb-cab-001-d002/cab-001-002_s004,cab-001-002_s004,"El Alcalde Juan de Pineda compareció ante la Real Audencia para apelar la sanción, argumento que se encontraba gestionado lo de su nombramiento como Procurador.",source-tei,segment leco:documentsAct focus,human_review,"Revisar el warning junto con su evidencia antes de modificar TEI, mapping u ontología.",explicit_recoverable,"Propuesta para revisión: el segmento cab-001-002_s004 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «compareció». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual."
cab-001-002,Warning,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a003,leco:Adjudication,fallar,https://w3id.org/leco/data/co-ahrb-cab-001-d002/cab-001-002_s005,cab-001-002_s005,"Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",source-tei,segment leco:documentsAct focus,review_jurisdiction_context,Revisar autoridad/institución y contexto documental. Solo añadir jurisdicción si está explícita o si se registra como inferencia contextual con procedencia.,contextual_inference,Propuesta para revisión: inferir la jurisdicción de la Real Audiencia para este acto por continuidad procesal entre cab-001-002_s004 y cab-001-002_s005. La jurisdicción no está expresada en s005; registrar como inferencia contextual con ambos segmentos como evidencia y confidence moderada.
cab-001-002,Warning,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a003,leco:Adjudication,fallar,https://w3id.org/leco/data/co-ahrb-cab-001-d002/cab-001-002_s005,cab-001-002_s005,"Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",source-tei,segment leco:documentsAct focus,review_deciding_authority,Comprobar quién adopta la decisión en el segmento y su contexto inmediato; no asumir Cabildo automáticamente si el texto no lo permite.,contextual_inference,"Propuesta para revisión: inferir leco:decidedBy = RealAudiencia para este acto. La autoridad no aparece explícitamente en cab-001-002_s005; la inferencia se apoya en continuidad procesal con cab-001-002_s004, donde Juan de Pineda comparece ante la Real Audiencia para apelar. Registrar como contextual_inference con provenance y confidence aproximada 0.80, no como evidencia textual explícita."
cab-001-002,Warning,sh:MinCountConstraintComponent,leco:investigates,"No se ha identificado el objeto, actor o conducta investigada.",https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a002,leco:Investigation,investigar,https://w3id.org/leco/data/co-ahrb-cab-001-d002/cab-001-002_s005,cab-001-002_s005,"Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",source-tei,segment leco:documentsAct focus,review_investigation_target,"Identificar qué persona, conducta o asunto se investiga si la fuente lo expresa; de lo contrario conservar el warning.",explicit_recoverable,"Propuesta para revisión: cab-001-002_s005 expresa explícitamente que se investigan «las acciones y comportamiento del señor Pineda». Recuperar leco:investigates hacia Juan de Pineda (o el objeto de investigación modelado, según el rango definido), con evidencia textual explícita."
cab-001-002,Warning,sh:MinCountConstraintComponent,leco:decidedBy,No se ha identificado quién decidió esta decisión jurídica.,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s003_a002,leco:Detention,ponerlo preso,https://w3id.org/leco/data/co-ahrb-cab-001-d002/cab-001-002_s003,cab-001-002_s003,"Los señores capitulares, acordaron ponerlo preso y encargar en su remplazo a don Pedro Vasquez.",source-tei,segment leco:documentsAct focus,review_deciding_authority,Comprobar quién adopta la decisión en el segmento y su contexto inmediato; no asumir Cabildo automáticamente si el texto no lo permite.,explicit_recoverable,"Propuesta para revisión: en cab-001-002_s003 el sujeto decisor del acto «ponerlo preso» está expresado en la misma evidencia (p. ej., capitulares/Justicia y Regimiento/Gobernador según el segmento). Recuperar leco:decidedBy enlazando la entidad institucional o personal ya anotada."
cab-001-002,Warning,sh:OrConstraintComponent,,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a003,leco:Adjudication,fallar,https://w3id.org/leco/data/co-ahrb-cab-001-d002/cab-001-002_s005,cab-001-002_s005,"Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",source-tei,segment leco:documentsAct focus,human_review,"Revisar el warning junto con su evidencia antes de modificar TEI, mapping u ontología.",explicit_recoverable,"Propuesta para revisión: el segmento cab-001-002_s005 contiene persona(s), grupo(s) o institución(es) explícitamente vinculados al acto «fallar». Recuperar al menos un leco:hasParticipant desde la entidad ya anotada. No asignar un rol procesal más específico salvo evidencia textual."
cab-001-002,Warning,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s003_a002,leco:Detention,ponerlo preso,https://w3id.org/leco/data/co-ahrb-cab-001-d002/cab-001-002_s003,cab-001-002_s003,"Los señores capitulares, acordaron ponerlo preso y encargar en su remplazo a don Pedro Vasquez.",source-tei,segment leco:documentsAct focus,review_jurisdiction_context,Revisar autoridad/institución y contexto documental. Solo añadir jurisdicción si está explícita o si se registra como inferencia contextual con procedencia.,contextual_inference,"Propuesta para revisión: la jurisdicción de «ponerlo preso» no está afirmada explícitamente, pero cab-001-002_s003 aporta contexto (Cabildo/Justicia y Regimiento). Determinar la instancia de leco:Jurisdiction adecuada y, si procede, añadir leco:withinJurisdiction como inferencia contextual con provenance/confidence."
cab-001-002,Warning,sh:MinCountConstraintComponent,leco:appointsToOffice,No se ha identificado el oficio al que se realiza el nombramiento.,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a006,leco:Appointment,nombramiento,https://w3id.org/leco/data/co-ahrb-cab-001-d002/cab-001-002_s004,cab-001-002_s004,"El Alcalde Juan de Pineda compareció ante la Real Audencia para apelar la sanción, argumento que se encontraba gestionado lo de su nombramiento como Procurador.",source-tei,segment leco:documentsAct focus,review_appointment_office,Comprobar el oficio al que se nombra. Normalizar el tipo de oficio sin borrar la forma histórica del texto.,needs_review,"Propuesta para revisión: cab-001-002_s004 menciona el cargo «Procurador», pero el texto describe una gestión/solicitud de nombramiento y no necesariamente un nombramiento consumado. Revisar si el evento debe seguir siendo leco:Appointment antes de completar appointsToOffice."
cab-001-002,Warning,sh:MinCountConstraintComponent,leco:withinJurisdiction,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural.",https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a002,leco:Investigation,investigar,https://w3id.org/leco/data/co-ahrb-cab-001-d002/cab-001-002_s005,cab-001-002_s005,"Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",source-tei,segment leco:documentsAct focus,review_jurisdiction_context,Revisar autoridad/institución y contexto documental. Solo añadir jurisdicción si está explícita o si se registra como inferencia contextual con procedencia.,contextual_inference,Propuesta para revisión: inferir la jurisdicción de la Real Audiencia para este acto por continuidad procesal entre cab-001-002_s004 y cab-001-002_s005. La jurisdicción no está expresada en s005; registrar como inferencia contextual con ambos segmentos como evidencia y confidence moderada.
