document,property,target_requirement,focus_node,focus_xml_id,focus_types,focus_label,segment_id,segment_text,previous_segment_id,previous_segment_text,next_segment_id,next_segment_text,same_segment_entities,previous_segment_entities,next_segment_entities,same_segment_events,previous_segment_events,next_segment_events,same_segment_office_mentions,previous_segment_office_mentions,next_segment_office_mentions,current_property_targets,suggested_review_action,approved_target_xml_id,approved_basis,approved_confidence,relation_review_status,relation_reviewer_note
cab-001-002,leco:appointsToOffice,office,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a006,event_cab-001-002_cab-001-002_s004_a006,leco:Appointment,nombramiento,cab-001-002_s004,"El Alcalde Juan de Pineda compareció ante la Real Audencia para apelar la sanción, argumento que se encontraba gestionado lo de su nombramiento como Procurador.",cab-001-002_s003,"Los señores capitulares, acordaron ponerlo preso y encargar en su remplazo a don Pedro Vasquez.",cab-001-002_s005,"Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",person:person_cab-001-002_cab-001-002_s004_a002|Juan de Pineda|before|historicalPerson; org:org_cab-001-002_cab-001-002_s004_a004|Real Audencia|before|audiencia,person:person_cab-001-002_cab-001-002_s003_a003|Pedro Vasquez|same|historicalPerson,,event:event_cab-001-002_cab-001-002_s004_a003|compareció|same|https://w3id.org/leco/ontology#Appearance; event:event_cab-001-002_cab-001-002_s004_a005|apelar|same|https://w3id.org/leco/ontology#Appeal,event:event_cab-001-002_cab-001-002_s003_a001|acordaron|same|https://w3id.org/leco/ontology#LegalDecision; event:event_cab-001-002_cab-001-002_s003_a002|ponerlo preso|same|https://w3id.org/leco/ontology#Detention,event:event_cab-001-002_cab-001-002_s005_a001|ordenó|same|https://w3id.org/leco/ontology#OrderAct; event:event_cab-001-002_cab-001-002_s005_a002|investigar|same|https://w3id.org/leco/ontology#Investigation; event:event_cab-001-002_cab-001-002_s005_a003|fallar|same|https://w3id.org/leco/ontology#Adjudication,officeMention:cab-001-002_cab-001-002_s004_a001|Alcalde|before|https://w3id.org/leco/ontology#MayorOfficeType; officeMention:cab-001-002_cab-001-002_s004_a007|Procurador|after|https://w3id.org/leco/ontology#ProcuradorOfficeType,,officeMention:cab-001-002_cab-001-002_s005_a005|Alcalde Ordinario|same|https://w3id.org/leco/ontology#OrdinaryMayorOfficeType,,Identificar el cargo concreto del nombramiento. Aprobar el xml:id de la mención de oficio solo después de confirmar que corresponde a ese nombramiento.,,,,pending,
cab-001-002,leco:appointsPerson,person,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a006,event_cab-001-002_cab-001-002_s004_a006,leco:Appointment,nombramiento,cab-001-002_s004,"El Alcalde Juan de Pineda compareció ante la Real Audencia para apelar la sanción, argumento que se encontraba gestionado lo de su nombramiento como Procurador.",cab-001-002_s003,"Los señores capitulares, acordaron ponerlo preso y encargar en su remplazo a don Pedro Vasquez.",cab-001-002_s005,"Se ordenó investigar las acciones y comportamiento del señor Pineda, para fallar por su incumplimiento con el deber de Alcalde Ordinario.",person:person_cab-001-002_cab-001-002_s004_a002|Juan de Pineda|before|historicalPerson; org:org_cab-001-002_cab-001-002_s004_a004|Real Audencia|before|audiencia,person:person_cab-001-002_cab-001-002_s003_a003|Pedro Vasquez|same|historicalPerson,,event:event_cab-001-002_cab-001-002_s004_a003|compareció|same|https://w3id.org/leco/ontology#Appearance; event:event_cab-001-002_cab-001-002_s004_a005|apelar|same|https://w3id.org/leco/ontology#Appeal,event:event_cab-001-002_cab-001-002_s003_a001|acordaron|same|https://w3id.org/leco/ontology#LegalDecision; event:event_cab-001-002_cab-001-002_s003_a002|ponerlo preso|same|https://w3id.org/leco/ontology#Detention,event:event_cab-001-002_cab-001-002_s005_a001|ordenó|same|https://w3id.org/leco/ontology#OrderAct; event:event_cab-001-002_cab-001-002_s005_a002|investigar|same|https://w3id.org/leco/ontology#Investigation; event:event_cab-001-002_cab-001-002_s005_a003|fallar|same|https://w3id.org/leco/ontology#Adjudication,officeMention:cab-001-002_cab-001-002_s004_a001|Alcalde|before|https://w3id.org/leco/ontology#MayorOfficeType; officeMention:cab-001-002_cab-001-002_s004_a007|Procurador|after|https://w3id.org/leco/ontology#ProcuradorOfficeType,,officeMention:cab-001-002_cab-001-002_s005_a005|Alcalde Ordinario|same|https://w3id.org/leco/ontology#OrdinaryMayorOfficeType,,"Identificar la persona nombrada. Si el texto solo habla de personas genéricas, conservar el warning.",,,,pending,
cab-001-003,leco:decidedBy,authority,https://w3id.org/leco/data/co-ahrb-cab-001-d003/event_cab-001-003_cab-001-003_s007_a001,event_cab-001-003_cab-001-003_s007_a001,leco:OrderAct,ordenó,cab-001-003_s007,Se ordenó pregonar lo acordado.,cab-001-003_s006,"Se presento otra carta del Cabildo de Santafé, la cual fue leída, donde se ordena el envío de la respuesta por el Licenciado Santiesteban.",,,,org:org_cab-001-003_cab-001-003_s006_a002|Cabildo de Santafé|same|cabildo; person:person_cab-001-003_cab-001-003_s006_a003|Licenciado Santiesteban|same|historicalPerson,,event:event_cab-001-003_cab-001-003_s007_a002|pregonar|same|https://w3id.org/leco/ontology#Proclamation,,,,,,,"Identificar la autoridad que adopta la decisión. Distinguir autoridad decisora de beneficiario, destinatario o persona mencionada.",,,,pending,
cab-001-004,leco:decidedBy,authority,https://w3id.org/leco/data/co-ahrb-cab-001-d004/event_cab-001-004_cab-001-004_s002_a005,event_cab-001-004_cab-001-004_s002_a005,leco:OrderAct,mandó,cab-001-004_s002,"En este Cabildo los señores Justicia y Regimiento dijeron que por el pregón de un auto que se realizó, donde se mandó hacer la despedida del señor Gobernador por parte de los vecinos del Repartimiento, ya no fueran a tal acto.",cab-001-004_s001,"Tunja, 26 de Septimbre 1547.",cab-001-004_s003,"Se dió un poder a Hernan Suárez de Villalobos,para que apelara en la Audencia los contenidos del auto que contenian nuevas leyes que afectan a los indios y la tributación del maiz y otras cosas que sacan delas granjas.",org:org_cab-001-004_cab-001-004_s002_a001|Cabildo|before|cabildo; org:org_cab-001-004_cab-001-004_s002_a002|Justicia y Regimiento|before|cabildo_body,,person:person_cab-001-004_cab-001-004_s003_a002|Hernan Suárez de Villalobos|same|historicalPerson,event:event_cab-001-004_cab-001-004_s002_a003|pregón|same|https://w3id.org/leco/ontology#Proclamation; event:event_cab-001-004_cab-001-004_s002_a008|Repartimiento|same|https://w3id.org/leco/ontology#RepartimientoAct,,event:event_cab-001-004_cab-001-004_s003_a001|poder|same|https://w3id.org/leco/ontology#GrantOfPower,officeMention:cab-001-004_cab-001-004_s002_a006|Gobernador|after|https://w3id.org/leco/ontology#GovernorOfficeType,,,,"Identificar la autoridad que adopta la decisión. Distinguir autoridad decisora de beneficiario, destinatario o persona mencionada.",,,,pending,
cab-001-006,leco:sanctions,person_or_collective,https://w3id.org/leco/data/co-ahrb-cab-001-d006/event_cab-001-006_cab-001-006_s005_a002,event_cab-001-006_cab-001-006_s005_a002,leco:Sanction,penas,cab-001-006_s005,"Por cuanto es costumbre de los gobernantes del Reino y de las justicias, se pregona las penas contra los Indios, Suspenderlos, castigarlos por causar problemas con los vecinos de la ciudad dónde se fiel cumplimiento a esta carta Real Provisión.",cab-001-006_s004,"Por cuanto en los confines y términos de la ciudad de Tunja y sus provincias y poblaciones de Indios hay guerras entre ellos con los Caribes los cuales comen carne humana, para que estos sean castigados por los españoles.",cab-001-006_s006,Finalmente; seguir autorizando los repartimientos de tierras e Indios a los primeros descubridores y conquistadores del Nuevo Reino de Granada.,,,,event:event_cab-001-006_cab-001-006_s005_a004|castigarlos|same|https://w3id.org/leco/ontology#Punishment,event:event_cab-001-006_cab-001-006_s004_a004|castigados|same|https://w3id.org/leco/ontology#Punishment,event:event_cab-001-006_cab-001-006_s006_a001|repartimientos|same|https://w3id.org/leco/ontology#RepartimientoAct,,,,,Identificar a quién recae la sanción. No usar automáticamente al Cabildo ni a la autoridad que impone la pena.,,,,pending,
cab-001-006,leco:sanctions,person_or_collective,https://w3id.org/leco/data/co-ahrb-cab-001-d006/event_cab-001-006_cab-001-006_s005_a004,event_cab-001-006_cab-001-006_s005_a004,leco:Punishment,castigarlos,cab-001-006_s005,"Por cuanto es costumbre de los gobernantes del Reino y de las justicias, se pregona las penas contra los Indios, Suspenderlos, castigarlos por causar problemas con los vecinos de la ciudad dónde se fiel cumplimiento a esta carta Real Provisión.",cab-001-006_s004,"Por cuanto en los confines y términos de la ciudad de Tunja y sus provincias y poblaciones de Indios hay guerras entre ellos con los Caribes los cuales comen carne humana, para que estos sean castigados por los españoles.",cab-001-006_s006,Finalmente; seguir autorizando los repartimientos de tierras e Indios a los primeros descubridores y conquistadores del Nuevo Reino de Granada.,,,,event:event_cab-001-006_cab-001-006_s005_a002|penas|same|https://w3id.org/leco/ontology#Sanction,event:event_cab-001-006_cab-001-006_s004_a004|castigados|same|https://w3id.org/leco/ontology#Punishment,event:event_cab-001-006_cab-001-006_s006_a001|repartimientos|same|https://w3id.org/leco/ontology#RepartimientoAct,,,,,Identificar a quién recae la sanción. No usar automáticamente al Cabildo ni a la autoridad que impone la pena.,,,,pending,
cab-001-006,leco:sanctions,person_or_collective,https://w3id.org/leco/data/co-ahrb-cab-001-d006/event_cab-001-006_cab-001-006_s004_a004,event_cab-001-006_cab-001-006_s004_a004,leco:Punishment,castigados,cab-001-006_s004,"Por cuanto en los confines y términos de la ciudad de Tunja y sus provincias y poblaciones de Indios hay guerras entre ellos con los Caribes los cuales comen carne humana, para que estos sean castigados por los españoles.",cab-001-006_s003,"Hacer relación de su majestad de la cantidad de oro,espadas, Piedras preciosas producidas en este reino, para que por medio de la Real Audencia se entregue el informe, agregando las tierras mas fertiles de los Indigenas ó naturales.",cab-001-006_s005,"Por cuanto es costumbre de los gobernantes del Reino y de las justicias, se pregona las penas contra los Indios, Suspenderlos, castigarlos por causar problemas con los vecinos de la ciudad dónde se fiel cumplimiento a esta carta Real Provisión.",,org:org_cab-001-006_cab-001-006_s003_a002|Real Audencia|same|audiencia,,,,event:event_cab-001-006_cab-001-006_s005_a002|penas|same|https://w3id.org/leco/ontology#Sanction; event:event_cab-001-006_cab-001-006_s005_a004|castigarlos|same|https://w3id.org/leco/ontology#Punishment,,,,,Identificar a quién recae la sanción. No usar automáticamente al Cabildo ni a la autoridad que impone la pena.,,,,pending,
cab-001-006,leco:decidedBy,authority,https://w3id.org/leco/data/co-ahrb-cab-001-d006/event_cab-001-006_cab-001-006_s005_a004,event_cab-001-006_cab-001-006_s005_a004,leco:Punishment,castigarlos,cab-001-006_s005,"Por cuanto es costumbre de los gobernantes del Reino y de las justicias, se pregona las penas contra los Indios, Suspenderlos, castigarlos por causar problemas con los vecinos de la ciudad dónde se fiel cumplimiento a esta carta Real Provisión.",cab-001-006_s004,"Por cuanto en los confines y términos de la ciudad de Tunja y sus provincias y poblaciones de Indios hay guerras entre ellos con los Caribes los cuales comen carne humana, para que estos sean castigados por los españoles.",cab-001-006_s006,Finalmente; seguir autorizando los repartimientos de tierras e Indios a los primeros descubridores y conquistadores del Nuevo Reino de Granada.,,,,event:event_cab-001-006_cab-001-006_s005_a002|penas|same|https://w3id.org/leco/ontology#Sanction,event:event_cab-001-006_cab-001-006_s004_a004|castigados|same|https://w3id.org/leco/ontology#Punishment,event:event_cab-001-006_cab-001-006_s006_a001|repartimientos|same|https://w3id.org/leco/ontology#RepartimientoAct,,,,,"Identificar la autoridad que adopta la decisión. Distinguir autoridad decisora de beneficiario, destinatario o persona mencionada.",,,,pending,
cab-001-006,leco:appointsPerson,person,https://w3id.org/leco/data/co-ahrb-cab-001-d006/event_cab-001-006_cab-001-006_s002_a001,event_cab-001-006_cab-001-006_s002_a001,leco:Appointment,Nombrar,cab-001-006_s002,"Nombrar regidores perpetuos a personas hábiles, idónes que sean pobladores y descubridores del Nuevo Reino.",cab-001-006_s001,"Don Pedro de Colmenares y Alonso Tellez informan al Consejode Indias sobre la situación de los descubridores y comendaderos de la ciudad deTunja, para que cumplan las nuevas leyes, ante los motines de Indios, la perpetuidad de los repartimintos del Reino,el pago de las mitas, comprar negros para que ayuden a abrir el camino para el desembarco del Rio Grande de este reino.",cab-001-006_s003,"Hacer relación de su majestad de la cantidad de oro,espadas, Piedras preciosas producidas en este reino, para que por medio de la Real Audencia se entregue el informe, agregando las tierras mas fertiles de los Indigenas ó naturales.",,person:person_cab-001-006_cab-001-006_s001_a001|Pedro de Colmenares|same|historicalPerson; person:person_cab-001-006_cab-001-006_s001_a002|Alonso Tellez|same|historicalPerson,org:org_cab-001-006_cab-001-006_s003_a002|Real Audencia|same|audiencia,,,,officeMention:cab-001-006_cab-001-006_s002_a002|regidores|after|office_or_procedural_role,,,,"Identificar la persona nombrada. Si el texto solo habla de personas genéricas, conservar el warning.",,,,pending,
cab-001-006,leco:appointsToOffice,office,https://w3id.org/leco/data/co-ahrb-cab-001-d006/event_cab-001-006_cab-001-006_s002_a001,event_cab-001-006_cab-001-006_s002_a001,leco:Appointment,Nombrar,cab-001-006_s002,"Nombrar regidores perpetuos a personas hábiles, idónes que sean pobladores y descubridores del Nuevo Reino.",cab-001-006_s001,"Don Pedro de Colmenares y Alonso Tellez informan al Consejode Indias sobre la situación de los descubridores y comendaderos de la ciudad deTunja, para que cumplan las nuevas leyes, ante los motines de Indios, la perpetuidad de los repartimintos del Reino,el pago de las mitas, comprar negros para que ayuden a abrir el camino para el desembarco del Rio Grande de este reino.",cab-001-006_s003,"Hacer relación de su majestad de la cantidad de oro,espadas, Piedras preciosas producidas en este reino, para que por medio de la Real Audencia se entregue el informe, agregando las tierras mas fertiles de los Indigenas ó naturales.",,person:person_cab-001-006_cab-001-006_s001_a001|Pedro de Colmenares|same|historicalPerson; person:person_cab-001-006_cab-001-006_s001_a002|Alonso Tellez|same|historicalPerson,org:org_cab-001-006_cab-001-006_s003_a002|Real Audencia|same|audiencia,,,,officeMention:cab-001-006_cab-001-006_s002_a002|regidores|after|office_or_procedural_role,,,,Identificar el cargo concreto del nombramiento. Aprobar el xml:id de la mención de oficio solo después de confirmar que corresponde a ese nombramiento.,,,,pending,
